                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2456,                 4.1447,                 1.2439,                0.67494,                0.06285,                0.04862,                0.02469,                 2.2784,                 3.5585,                 1.0939,             0.00019244,             0.00019244,             0.00019244
                      2,                 2.2647,                 3.0652,                 1.1194,                0.30129,                0.09119,                0.06403,                0.03734,                 2.1714,                 2.6999,                 1.0967,             0.00034998,             0.00034998,             0.00034998
                      3,                 2.1899,                 2.6224,                 1.0981,                0.63194,                0.07095,                0.07733,                0.04258,                 2.1118,                 2.3273,                  1.069,             0.00046872,             0.00046872,             0.00046872
                      4,                 2.1543,                 2.3648,                 1.0794,                0.06772,                0.05663,                0.05456,                0.02919,                 2.0539,                  2.133,                  1.068,             0.00041336,             0.00041336,             0.00041336
                      5,                 2.0943,                 2.2151,                 1.0734,                0.07224,                0.05744,                 0.0594,                 0.0346,                  2.013,                  2.002,                 1.0774,             0.00041336,             0.00041336,             0.00041336
                      6,                  2.069,                 2.1162,                 1.0698,                0.07612,                0.07082,                 0.0674,                0.03603,                 1.9896,                  1.967,                 1.0458,             0.00035515,             0.00035515,             0.00035515
                      7,                 2.0079,                 2.0235,                 1.0557,                0.08045,                0.07289,                 0.0628,                 0.0349,                 1.9262,                 1.8771,                 1.0432,             0.00029694,             0.00029694,             0.00029694
                      8,                 1.9871,                 1.9727,                 1.0432,                0.33681,                0.09411,                0.08196,                0.04413,                 1.9046,                 1.8439,                 1.0278,             0.00023873,             0.00023873,             0.00023873
                      9,                 1.9615,                 1.8986,                  1.032,                0.22906,                0.07815,                0.08043,                0.04534,                 1.8665,                 1.7589,                 1.0175,             0.00018052,             0.00018052,             0.00018052
                     10,                 1.9409,                 1.8655,                 1.0308,                 0.3049,                0.08414,                 0.0854,                 0.0474,                 1.8619,                 1.7282,                 1.0221,              0.0001223,              0.0001223,              0.0001223
